Scanning Geometry: KXNNOVZWDG
------------------------------------------------------------
PARAMETER NAME            | GROUP NAME      | VALUE
Off_Duty                  | Chevron         | 0.0
AllSym                    | Chevron         | 1.0
TBSym                     | Chevron         | 1.0
RLSym                     | Chevron         | 1.0
W01_Mode                  | Chevron         | 0.0
W01_Start_Guide           | Chevron         | 5.0
W01_Start                 | Chevron         | 0.0
W01_End_Guide             | Chevron         | 5.0
W01_End                   | Chevron         | 0.5
W01_Center_Guide          | Chevron         | 5.0
W01_Center                | Chevron         | 0.25
W01_Width                 | Chevron         | 0.5
TopAmplitude              | Chevron         | 1.0
BottomAmplitude           | Chevron         | 1.0
LeftAmplitude             | Chevron         | 1.0
RightAmplitude            | Chevron         | 1.0
Top_Angle                 | Chevron         | 0.0
Bottom_Angle              | Chevron         | 0.0
Right_Angle               | Chevron         | 0.0
Left_Angle                | Chevron         | 0.0
Top_Slew                  | Chevron         | 0.0
Bottom_Slew               | Chevron         | 0.0
Right_Slew                | Chevron         | 0.0
Left_Slew                 | Chevron         | 0.0
Valley_Radius             | Chevron         | 0.0
Peak_Radius               | Chevron         | 0.0
XSecImagePreserveAR       | XSecCurve_Background | 1.0
XSecImageFlag             | XSecCurve_Background | 0.0
XSecLockImageFlag         | XSecCurve_Background | 0.0
XSecImageW                | XSecCurve_Background | 1.0
XSecImageH                | XSecCurve_Background | 1.0
XSecImageXOffset          | XSecCurve_Background | 0.0
XSecImageYOffset          | XSecCurve_Background | 0.0
XSecFlipImageFlag         | XSecCurve_Background | 0.0
Area                      | XSecCurve       | 1.08616981349583
HWRatio                   | XSecCurve       | 0.1
Invert                    | XSecCurve       | 0.0
Chord                     | XSecCurve       | 4.0
ThickChord                | XSecCurve       | 0.1
FitDegree                 | XSecCurve       | 7.0
Camber                    | XSecCurve       | 0.0
CamberLoc                 | XSecCurve       | 0.2
SharpTEFlag               | XSecCurve       | 1.0
IdealCl                   | XSecCurve       | 0.0
CamberInputFlag           | XSecCurve       | 0.0
SectTess_U                | XSec            | 6.0
InLESweep                 | XSec            | 30.0
InTESweep                 | XSec            | 13.71315268329252
InLEDihedral              | XSec            | 8.10219800466892e-15
InTEDihedral              | XSec            | -7.222591237899947e-15
InLEStrength              | XSec            | 1.0
InTEStrength              | XSec            | 1.0
OutLESweep                | XSec            | 30.0
OutTESweep                | XSec            | 13.71315268329252
OutLEDihedral             | XSec            | -8.10219800466892e-15
OutTEDihedral             | XSec            | 7.222591237899947e-15
OutLEStrength             | XSec            | 1.0
OutTEStrength             | XSec            | 1.0
InLEMode                  | XSec            | 0.0
OutLEMode                 | XSec            | 0.0
InTEMode                  | XSec            | 0.0
OutTEMode                 | XSec            | 0.0
ProjectedSpan             | XSec            | 9.0
Aspect                    | XSec            | 3.6
Taper                     | XSec            | 0.25
Area                      | XSec            | 22.5
Span                      | XSec            | 9.0
Avg_Chord                 | XSec            | 2.5
Tip_Chord                 | XSec            | 1.0
Root_Chord                | XSec            | 4.0
Sec_Sweep                 | XSec            | 13.713152683292499
Sweep                     | XSec            | 30.0
Sweep_Location            | XSec            | 0.0
Sec_Sweep_Location        | XSec            | 1.0
Twist                     | XSec            | 0.0
Twist_Location            | XSec            | 0.25
Dihedral                  | XSec            | 0.0
RotateMatchDideralFlag    | XSec            | 0.0
InCluster                 | XSec            | 1.0
OutCluster                | XSec            | 1.0
TE_Close_Type             | Close           | 0.0
TE_Close_AbsRel           | Close           | 0.0
TE_Close_Thick            | Close           | 0.0
TE_Close_Thick_Chord      | Close           | 0.0
LE_Close_Type             | Close           | 0.0
LE_Close_AbsRel           | Close           | 0.0
LE_Close_Thick            | Close           | 0.0
LE_Close_Thick_Chord      | Close           | 0.0
TE_Trim_Type              | Trim            | 0.0
TE_Trim_AbsRel            | Trim            | 0.0
TE_Trim_X                 | Trim            | 0.0
TE_Trim_X_Chord           | Trim            | 0.0
TE_Trim_Thick             | Trim            | 0.0
TE_Trim_Thick_Chord       | Trim            | 0.0
LE_Trim_Type              | Trim            | 0.0
LE_Trim_AbsRel            | Trim            | 0.0
LE_Trim_X                 | Trim            | 0.0
LE_Trim_X_Chord           | Trim            | 0.0
LE_Trim_Thick             | Trim            | 0.0
LE_Trim_Thick_Chord       | Trim            | 0.0
TE_Cap_Type               | Cap             | 1.0
TE_Cap_Length             | Cap             | 1.0
TE_Cap_Offset             | Cap             | 0.0
TE_Cap_Strength           | Cap             | 0.5
LE_Cap_Type               | Cap             | 1.0
LE_Cap_Length             | Cap             | 1.0
LE_Cap_Offset             | Cap             | 0.0
LE_Cap_Strength           | Cap             | 0.5
Theta                     | XSecCurve       | 0.0
Scale                     | XSecCurve       | 1.0
DeltaX                    | XSecCurve       | 0.0
DeltaY                    | XSecCurve       | 0.0
ShiftLE                   | XSecCurve       | 0.0
Chevron_Type              | Chevron         | 0.0
Number                    | Chevron         | 8.0
On_Duty                   | Chevron         | 0.0
Off_Duty                  | Chevron         | 0.0
AllSym                    | Chevron         | 1.0
TBSym                     | Chevron         | 1.0
RLSym                     | Chevron         | 1.0
W01_Mode                  | Chevron         | 0.0
W01_Start_Guide           | Chevron         | 5.0
W01_Start                 | Chevron         | 0.0
W01_End_Guide             | Chevron         | 5.0
W01_End                   | Chevron         | 0.5
W01_Center_Guide          | Chevron         | 5.0
W01_Center                | Chevron         | 0.25
W01_Width                 | Chevron         | 0.5
TopAmplitude              | Chevron         | 1.0
BottomAmplitude           | Chevron         | 1.0
LeftAmplitude             | Chevron         | 1.0
RightAmplitude            | Chevron         | 1.0
Top_Angle                 | Chevron         | 0.0
Bottom_Angle              | Chevron         | 0.0
Right_Angle               | Chevron         | 0.0
Left_Angle                | Chevron         | 0.0
Top_Slew                  | Chevron         | 0.0
Bottom_Slew               | Chevron         | 0.0
Right_Slew                | Chevron         | 0.0
Left_Slew                 | Chevron         | 0.0
Valley_Radius             | Chevron         | 0.0
Peak_Radius               | Chevron         | 0.0
XSecImagePreserveAR       | XSecCurve_Background | 1.0
XSecImageFlag             | XSecCurve_Background | 0.0
XSecLockImageFlag         | XSecCurve_Background | 0.0
XSecImageW                | XSecCurve_Background | 1.0
XSecImageH                | XSecCurve_Background | 1.0
XSecImageXOffset          | XSecCurve_Background | 0.0
XSecImageYOffset          | XSecCurve_Background | 0.0
XSecFlipImageFlag         | XSecCurve_Background | 0.0
Area                      | XSecCurve       | 0.06788561334348937
HWRatio                   | XSecCurve       | 0.1
Invert                    | XSecCurve       | 0.0
Chord                     | XSecCurve       | 1.0
ThickChord                | XSecCurve       | 0.1
FitDegree                 | XSecCurve       | 7.0
Camber                    | XSecCurve       | 0.0
CamberLoc                 | XSecCurve       | 0.2
SharpTEFlag               | XSecCurve       | 1.0
IdealCl                   | XSecCurve       | 0.0
CamberInputFlag           | XSecCurve       | 0.0
------------------------------------------------------------
